subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,Kusafisha kinywa na uso,1,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja vifaa vya kusafisha kinywa na uso na kuonesha hatua za kuvitumia kwa usahihi.,mswaki|dawa ya meno|kikombe|beseni|kopo|kitambaa|taulo|sabuni|mafuta,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Usafi wa kinywa na uso ni sehemu muhimu ya usafi wa mwili unaomwezesha mwanafunzi kuwa na afya njema na kujiamini.,"Hatua za kusafisha kinywa: kuweka dawa ya meno kwenye mswaki, kusugua meno pande zote, kusafisha ulimi, kusukutua kwa maji safi, kutema dawa na maji mdomoni, kusafisha mswaki, na kuhifadhi mswaki mahali safi. Hatua za kusafisha uso: kusafisha macho kwa maji safi, kusafisha pua kwa kitambaa safi laini cha pamba, kunawa uso kwa maji na sabuni, kukausha uso kwa taulo, na kupaka mafuta.",Mfano kutoka kitabuni: Ninaweka dawa ya meno kwenye mswaki; ninasugua meno pande zote; ninasukutua kwa maji safi na salama.,Mwanafunzi anapiga mswaki na kunawa uso kila asubuhi kabla ya kwenda shule ili awe safi na mwenye afya.,"Taja vifaa unavyotumia kusafishia kinywa chako.::Mswaki, dawa ya meno na kikombe||Kwa nini ni muhimu kusafisha kinywa chako?::Ili meno yasiharibike na kuepuka harufu mbaya mdomoni||Kwa nini ni muhimu kusafisha uso wako?::Ili kuondoa uchafu na kuwa na uso safi na wenye afya",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,Kusafisha masikio na nywele,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kueleza hatua za kusafisha masikio na nywele na kutaja vifaa vinavyotumika.,taulo|maji|sabuni|kitambaa|mafuta|kitana,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Usafi wa masikio na nywele humkinga mwanafunzi na maradhi na kumfanya awe na mwonekano mzuri.,"Hatua za kusafisha masikio: kupaka sabuni kwenye kitambaa kilichochovya kwenye maji, kusafisha sehemu ya mbele na nyuma ya sikio, na kukausha kwa taulo. Hatua za kusafisha nywele: kumwagia nywele maji, kupaka sabuni, kusugua, kusuuza, kukausha kwa taulo, kupaka mafuta na kuchana kwa kitana.","Wimbo wa nywele kitabuni: Mimi napenda nywele zangu, naziosha kwa maji na sabuni, nazipaka mafuta zipendeze, nazichana vizuri kwa kitana.",Mwanafunzi anasafisha masikio na kuosha nywele mara kwa mara nyumbani ili kuepuka uchafu na harufu mbaya.,"Taja vifaa vitatu vinavyotumika katika kusafishia masikio.::Taulo, maji na sabuni||Kwa nini unasafisha masikio yako?::Ili kuondoa uchafu na kuepuka maradhi ya masikio||Taja vifaa vya kusafishia nywele ulivyovisikia kwenye wimbo.::Maji, sabuni, mafuta na kitana",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,"Kusafisha mikono, kucha, miguu na kuoga",2,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuonesha hatua za kusafisha mikono, kukata kucha, kusafisha miguu na kuoga kwa usahihi.",maji|sabuni|brashi|kikata kucha|taulo|beseni|kopo|dodoki|mafuta,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Usafi wa mikono, kucha, miguu na kuoga kwa ujumla ni muhimu kwa kumkinga mwanafunzi na vimelea vya magonjwa na kumfanya awe msafi siku nzima.","Kukata na kusafisha kucha za mikono na miguu hufanyika kwa kutumia kikata kucha, mkasi au wembe kisha kusafishwa kwa brashi, maji na sabuni. Kuoga hufanyika kwa kutumia beseni, kopo, sabuni, dodoki, taulo na mafuta ili mwili wote uwe safi.","Mfano kitabuni: Mimi ni kikata kucha, sina urafiki na kucha ndefu nazikata; Mimi ni sabuni, natakasa mikono yako; Ninaoga ili niwe safi.","Mwanafunzi ananawa mikono kabla ya kula, anakata kucha zake mara kwa mara na anaoga kila siku ili kuwa msafi na mwenye afya.","Kwa nini ni muhimu kukata na kusafisha kucha zako?::Ili kuondoa uchafu unaojificha kwenye kucha ndefu na kuepuka maradhi||Taja vifaa vitatu vinavyotumika katika kukata na kusafisha kucha.::Kikata kucha, mkasi na brashi||Kwa nini ni muhimu kuoga kila siku?::Ili mwili wote uwe safi na kuepuka harufu mbaya na maradhi",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kutunza mavazi yake,Kutambua na kufua mavazi,2,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja aina za mavazi na kueleza hatua za kufua nguo kwa usahihi.,gauni|shati|suruali|sketi|beseni|sabuni ya unga|kamba ya nguo|vibanio|kibano,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Mavazi ni vazi ambalo mtu huvaa ili awe nadhifu, hivyo ni muhimu kuyatambua na kuyafua ipasavyo ili yaendelee kuwa safi na salama kuvaliwa.","Mavazi ni pamoja na gauni, shati, suruali, kaptula, sketi, fulana, koti, tai, kofia, viatu na soksi. Hatua za kufua nguo: kutenganisha nguo nyeupe na za rangi nyingine, kuweka sabuni ya unga kwenye beseni lenye maji, kuweka nguo kwenye beseni tofauti kulingana na rangi, kufikicha nguo, kusuuza na kukamua, kugeuza nguo na kuzianika kwenye kamba kwa kutumia vibanio.",Mfano kitabuni: Ninatenganisha nguo nyeupe na nguo zenye rangi nyingine; Ninaanika nguo kwenye kamba na kuzibana na vibanio.,Mwanafunzi anavaa mavazi safi shuleni na anasaidia kufua nguo zake ndogo nyumbani ili awe nadhifu.,"Taja mavazi manne ya kiume.::Shati, suruali, kaptula na tai||Taja majina ya vifaa vya kufanyia usafi wa nguo.::Beseni, sabuni ya unga, kamba ya nguo na vibanio||Kwa nini tunatenganisha nguo nyeupe na nguo zenye rangi nyingine kabla ya kuzifua?::Ili rangi ya nguo zenye rangi nyingine isiharibu au kuchafua nguo nyeupe",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kutunza mavazi yake,Kuhifadhi mavazi,1,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja vifaa vya kuhifadhia nguo na kuonesha jinsi ya kukunja na kupanga nguo kwa usahihi.,kabati|begi|mfuko wa sandarusi|boksi,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Kuhifadhi nguo vizuri baada ya kufua na kukausha huzifanya nguo kudumu na kubaki safi kwa muda mrefu.,"Nguo huhifadhiwa kwenye kabati, begi, mfuko wa sandarusi au boksi. Kabla ya kuhifadhi, nguo hukunjwa na kupangwa vizuri kwenye kifaa husika.",Mfano kitabuni: Ninakunja na kupanga nguo zangu kwenye kabati; Ninapanga nguo zangu kwenye boksi.,Mwanafunzi anakunja na kupanga sare yake ya shule kwenye kabati kila siku baada ya kuivua ili ibaki safi na nadhifu.,"Taja vifaa vitatu vinavyotumika katika kuhifadhia nguo.::Kabati, begi na boksi||Taja jina la kifaa unachotumia kuhifadhia nguo zako nyumbani.::Kabati (au begi, mfuko wa sandarusi, boksi)||Kwa nini ni muhimu kupanga nguo vizuri kwenye kabati?::Ili nguo zibaki safi, zisiharibike na ziwe rahisi kuzipata",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi,Kuepuka mazingira na vitu hatarishi,Kutambua vitu hatarishi na wadudu hatarishi,2,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja angalau vitu vinne hatarishi na wadudu watatu hatarishi bila msaada.,picha za vitu hatarishi|wembe|mkasi|pini|misumari|sindano|kisu|picha za wadudu hatarishi,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Vitu hatarishi ni vitu ambavyo vinaweza kumuumiza mtu endapo atavichezea, kama vile wembe, mkasi, pini, misumari, kipande cha bati, sindano na kisu. Nao wadudu hatarishi ni wale wanaoweza kumdhuru mtu wakimuuma au kumng'ata, kama vile nzi, nyuki, siafu, mbu na nyigu.",Ninaepuka vitu hatarishi ili kutunza afya na maisha yangu. Ninaepuka wadudu hatarishi ili niwe salama.,"Katika wimbo, watoto wanakumbushwa: 'Wembe na mkasi, pini misumari ni vitu hatari, Kipande cha bati, sindano kisu pia ni vitu hatari.' Katika hadithi ya Neema, alipokuwa akicheza chini ya mti shambani aling'atwa na nyuki aliyekuwa kwenye maua, akapata maumivu makali na uso kuvimba; daktari alimwambia nyuki akikung'ata anaacha sumu, na kwamba siafu, mbu na nyigu pia ni wadudu hatari.","Nyumbani na shuleni ninapoona wembe, kisu au sindano, siichezei bali ninamwambia mtu mzima aiondoe; nikimwona nyuki au siafu ninajiepusha nao ili nisiumizwe.","Taja vitu vitatu hatarishi vilivyotajwa kwenye wimbo::Wembe, mkasi, pini||Nini kinachomtokea mtu akichezea vitu hatarishi kama wimbo unavyoeleza?::Anaweza kuumia, damu kumwagika au kupata ulemavu||Ni mdudu gani aliyemng'ata Neema kwenye hadithi, na alikuwa wapi?::Nyuki, aliyekuwa kwenye maua ya mti||Taja wadudu wengine wawili hatarishi aliowaeleza daktari kwa Neema::Siafu na mbu (au nyigu)",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi,Kuepuka mazingira na vitu hatarishi,Kutambua wanyama hatarishi,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja angalau wanyama watatu hatarishi na kueleza kwa nini anapaswa kuwaepuka.,picha za wanyama hatarishi|chati ya wanyama|kadi za picha,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Wanyama hatarishi ni wale wanaoweza kumuumiza au kumuua mtu, kama vile simba, chui, tembo, kiboko, mamba, nyoka, fisi na mbwa mwitu. Mwanafunzi anapaswa kuwaepuka ili awe salama.",,"Kama kitabu kinavyoonesha katika picha za wanyama hatarishi: simba, chui, tembo, kiboko, mamba, nyoka, fisi na mbwa mwitu, wanyama hawa wanaweza kumdhuru mtu endapo hatawaepuka.","Ninapokuwa kijijini au safarini na kuona nyoka au mnyama mkali, simkaribii bali ninamwita mtu mzima ili anisaidie kuwa salama.","Taja wanyama wanne hatarishi walioorodheshwa kitabuni::Simba, chui, tembo, kiboko (au mamba, nyoka, fisi, mbwa mwitu)||Kwa nini unapaswa kuepuka wanyama hatarishi?::Kwa sababu wanaweza kumdhuru au kumuua mtu||Nyoka na mamba ni mifano ya wanyama wa aina gani?::Wanyama hatarishi",
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi,Kuepuka mazingira na vitu hatarishi,Kuepuka mazingira na vitu hatarishi katika maisha ya kila siku,2,Michezo ya kuigiza,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuonesha kwa vitendo angalau njia mbili za kuepuka mazingira na vitu hatarishi anavyokutana navyo kila siku.,picha za mazingira hatarishi|kisima cha mfano|viatu|picha za watoto wakicheza barabarani,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Mazingira hatarishi ni sehemu ambazo zinaweza kumletea mtoto madhara, kama vile kupokea zawadi kutoka kwa mtu asiyemfahamu, kucheza barabarani, kupanda juu ya mti, au kucheza karibu na kisima cha maji. Vilevile, mwanafunzi anapaswa kuepuka vitu hatarishi kwa kutokanyaga, kuvaa viatu, na kutokuvichezea.",,"Kitabu kinaeleza: Ninaepuka kupokea zawadi kutoka kwa mtu nisiyemfahamu ili nisidanganyike; Tunaepuka kucheza barabarani ili kuepuka ajali; Ninaepuka kupanda juu ya mti ili nisianguke na kuumia; Tunaepuka kucheza karibu na kisima cha maji ili tusitumbukie na kuumia. Aidha, tunaepuka kukanyaga vitu hatarishi kwa kuvaa viatu, na tunaviondoa vitu hatarishi mazingirani na kuvihifadhi kwa ajili ya kuviteketeza.","Ninapoona zawadi kutoka kwa mtu nisiyemfahamu, siichukui; ninapotembea nje ninavaa viatu na sichezei karibu na barabara au kisima cha maji ili niwe salama.",Kwa nini tunaepuka kucheza barabarani?::Ili kuepuka ajali||Kwa nini tunaepuka kucheza karibu na kisima cha maji?::Tusitumbukie na kuumia||Tunafanya nini ili kuepuka kukanyaga vitu hatarishi?::Tunavaa viatu||Nini tunachopaswa kufanya tunapoona vitu hatarishi mazingirani?::Kuviondoa na kuvihifadhi sehemu husika kwa ajili ya kuviteketeza,
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi,Kubaini alama za usalama barabarani na katika mazingira yake,Kubaini alama za usalama barabarani,3,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutambua na kueleza maana ya alama nne za usalama barabarani kwa usahihi.,chati za alama za usalama barabarani|picha za alama za barabarani|video ya alama za usalama barabarani,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Alama za usalama barabarani ni ishara zinazomsaidia mtu kuwa salama anapotembea au kutumia barabara. Mwanafunzi anazingatia alama hizi ili awe salama.,"Miongoni mwa alama za usalama barabarani zilizooneshwa kitabuni ni: alama ya taa za usalama barabarani, alama ya kivuko cha watoto, alama ya reli inakatisha, alama ya watembea kwa miguu, alama ya daraja jembamba, alama ya waendesha baiskeli, alama ya kivuko cha waenda kwa miguu, na alama ya kituo cha basi.","Kama kitabu kinavyoonesha katika zoezi la kuoanisha picha na maana yake: taa za usalama barabarani huonesha wakati wa kusimama au kuvuka, kivuko cha watoto huonesha sehemu salama ya watoto kuvuka, na alama ya reli inakatisha humwonya mtumiaji wa barabara kusimama kabla ya reli.","Ninapofika barabarani kwenda shule, ninatazama taa za usalama na kuvuka kwenye alama ya kivuko cha watembea kwa miguu ili nisipatwe na ajali.",Alama ya taa za usalama barabarani ina maana gani?::Inaonesha wakati wa kusimama au kuvuka barabara||Alama ya kivuko cha watoto ina maana gani?::Inaonesha sehemu salama ambayo watoto wanapaswa kuvukia||Alama ya reli inakatisha inamaanisha nini?::Inamwonya mtumiaji wa barabara kwamba reli inakatisha njia hivyo asimame||Kwa nini unashauriwa kuzingatia alama za usalama barabarani?::Ili niwe salama na kuepuka ajali,
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi,Kubaini alama za usalama barabarani na katika mazingira yake,Kubaini alama za usalama katika mazingira,2,Michezo ya kuigiza,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja angalau alama tatu za usalama katika mazingira yake na kueleza madhara ya kutozizingatia.,picha za alama za usalama katika mazingira|chati za alama za usalama|picha za mazingira ya shule,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Alama za usalama katika mazingira ni ishara zinazomsaidia mtu kujua sehemu au hali zenye hatari ili azizingatie na kuwa salama, kama zile zinazopatikana shuleni, nyumbani au maeneo ya kazi.",,"Mwanafunzi anazingatia alama hizi za usalama katika mazingira yake ili aepuke madhara, kama kitabu kinavyoeleza katika picha za alama za usalama katika mazingira.","Ninapoona alama ya usalama eneo la shule au nyumbani, kama ile inayoonya hatari ya moto au umeme, ninaizingatia na kumwarifu mtu mzima badala ya kuikaribia.","Taja alama tatu za usalama katika mazingira unazozifahamu::Mfano: alama ya hatari ya moto, alama ya umeme, alama ya kuzuia kuingia||Kwa nini tunazingatia alama za usalama katika mazingira?::Ili tuwe salama na kuepuka madhara||Nini kinachoweza kutokea tusipochukua tahadhari ya alama za usalama katika mazingira?::Tunaweza kupata majeraha au madhara mengine||Alama za usalama katika mazingira zinapatikana wapi?::Shuleni, nyumbani na maeneo mengine tunayoishi",
